bus_id,route,bus_type,depot,date,capacity,passengers,occupancy_rate,distance_km,fare_per_passenger,revenue,fuel_consumed_liters,month,day_of_week
AP0031,Anantapur-Bangalore,Super Luxury,Vijayawada,2024-11-12,53,17,33.13,209.36,795.05,13515.88,46.81,November,Tuesday
AP0032,Hyderabad-Tirupati,Volvo AC,Visakhapatnam,2024-08-20,53,41,77.86,544.41,797.68,32705.02,107.35,August,Tuesday
AP0033,Vijayawada-Tirupati,Sleeper,Hyderabad,2024-06-09,36,32,90.93,328.25,1081.4,34604.78,79.68,June,Sunday
AP0034,Hyderabad-Tirupati,Express,Hyderabad,2024-10-14,63,44,69.97,527.9,509.63,22423.85,114.19,October,Monday
AP0035,Eluru-Hyderabad,Semi-Sleeper,Nellore,2024-10-25,59,34,57.86,438.28,254.66,8658.33,105.85,October,Friday
AP0036,Guntur-Hyderabad,Sleeper,Vijayawada,2024-11-08,36,29,82.71,276.7,792.71,22988.48,59.43,November,Friday
AP0037,Vijayawada-Visakhapatnam,Sleeper,Tirupati,2024-04-01,40,31,79.76,318.47,939.56,29126.32,62.36,April,Monday
AP0038,Hyderabad-Visakhapatnam,Express,Nellore,2024-11-09,59,54,93.02,574.23,279.99,15119.29,119.99,November,Saturday
AP0039,Kakinada-Vijayawada,Semi-Sleeper,Hyderabad,2024-04-17,55,29,53.3,295.87,178.55,5177.96,57.77,April,Wednesday
AP0040,Vijayawada-Tirupati,Volvo AC,Kurnool,2024-05-23,57,26,46.97,273.45,809.11,21036.97,56.52,May,Thursday
AP0041,Kadapa-Hyderabad,Express,Tirupati,2024-02-27,59,26,45.14,272.82,269.21,6999.42,46.8,February,Tuesday
AP0042,Kakinada-Vijayawada,Ordinary,Nellore,2024-09-28,55,15,27.76,223.91,275.42,4131.32,42.78,September,Saturday
AP0043,Kadapa-Hyderabad,Sleeper,Kurnool,2024-07-22,40,31,78.43,394.38,486.96,15095.66,77.03,July,Monday
AP0044,Kakinada-Vijayawada,Express,Guntur,2024-09-02,59,34,57.9,308.0,270.51,9197.2,66.79,September,Monday
AP0045,Vijayawada-Tirupati,Volvo AC,Vijayawada,2024-12-01,49,36,75.12,447.26,800.36,28813.06,77.98,December,Sunday
AP0046,Kurnool-Hyderabad,Express,Hyderabad,2024-06-27,59,52,88.89,246.56,434.41,22589.15,52.87,June,Thursday
AP0047,Anantapur-Bangalore,Sleeper,Tirupati,2024-01-12,40,23,57.83,283.1,779.08,17918.81,74.39,January,Friday
AP0048,Eluru-Hyderabad,Semi-Sleeper,Vijayawada,2024-03-30,63,43,68.55,329.19,258.82,11129.43,80.18,March,Saturday
AP0049,Ongole-Hyderabad,Express,Visakhapatnam,2024-08-04,55,38,69.67,402.94,337.78,12835.5,92.57,August,Sunday
AP0050,Vijayawada-Tirupati,Sleeper,Hyderabad,2024-04-05,44,38,87.79,347.91,300.98,11437.35,75.73,April,Friday
AP0051,Nellore-Chennai,Semi-Sleeper,Guntur,2024-09-29,63,23,37.78,309.21,311.16,7156.64,65.66,September,Sunday
AP0052,Hyderabad-Vijayawada,Semi-Sleeper,Tirupati,2024-08-10,63,56,89.24,280.88,208.14,11656.12,63.83,August,Saturday
AP0053,Vijayawada-Visakhapatnam,Super Luxury,Vijayawada,2024-02-22,53,53,100.0,462.35,477.27,25295.15,74.4,February,Thursday
AP0054,Kurnool-Hyderabad,Ordinary,Nellore,2024-11-26,63,38,61.54,382.45,249.02,9462.77,65.49,November,Tuesday
AP0055,Hyderabad-Visakhapatnam,Volvo AC,Hyderabad,2024-06-16,49,46,95.37,604.83,922.77,42447.34,111.04,June,Sunday
AP0056,Kakinada-Vijayawada,Ordinary,Vijayawada,2024-11-22,55,33,61.58,465.44,123.47,4074.43,113.02,November,Friday
AP0057,Rajahmundry-Hyderabad,Sleeper,Tirupati,2024-03-31,44,26,60.68,381.09,938.77,24408.04,67.09,March,Sunday
AP0058,Kakinada-Vijayawada,Express,Visakhapatnam,2024-05-27,55,21,39.95,494.37,398.1,8360.07,166.56,May,Monday
AP0059,Chittoor-Bangalore,Sleeper,Nellore,2024-11-07,36,27,75.42,296.03,928.8,25077.73,88.0,November,Thursday
AP0060,Hyderabad-Vijayawada,Semi-Sleeper,Guntur,2024-05-26,63,56,89.75,272.48,255.57,14312.04,57.63,May,Sunday
AP0061,Vijayawada-Visakhapatnam,Ordinary,Vijayawada,2024-09-15,63,30,48.88,565.32,212.25,6367.49,145.47,September,Sunday
AP0062,Kurnool-Hyderabad,Ordinary,Visakhapatnam,2024-03-30,55,49,89.64,266.03,241.13,11815.15,66.17,March,Saturday
AP0063,Nellore-Chennai,Express,Tirupati,2024-05-24,55,34,63.01,317.66,324.09,11018.95,100.15,May,Friday
AP0064,Rajahmundry-Hyderabad,Ordinary,Guntur,2024-07-15,55,49,89.56,337.72,295.71,14489.68,67.29,July,Monday
AP0065,Eluru-Hyderabad,Ordinary,Vijayawada,2024-08-26,55,42,77.84,339.2,151.46,6361.38,59.28,August,Monday
AP0066,Hyderabad-Vijayawada,Super Luxury,Guntur,2024-04-07,53,51,96.54,279.13,507.63,25889.24,59.1,April,Sunday
AP0067,Rajahmundry-Hyderabad,Super Luxury,Nellore,2024-05-12,49,36,74.17,384.25,583.71,21013.41,63.73,May,Sunday
AP0068,Guntur-Hyderabad,Super Luxury,Guntur,2024-03-18,49,41,84.02,304.99,839.42,34416.28,61.02,March,Monday
AP0069,Rajahmundry-Hyderabad,Semi-Sleeper,Hyderabad,2024-02-03,59,48,82.72,383.59,259.62,12461.94,78.36,February,Saturday
AP0070,Chittoor-Bangalore,Express,Vijayawada,2024-08-23,63,39,62.31,443.71,555.12,21649.49,109.71,August,Friday
AP0071,Vijayawada-Tirupati,Semi-Sleeper,Kurnool,2024-04-12,63,54,86.84,498.9,283.1,15287.24,95.9,April,Friday
AP0072,Guntur-Hyderabad,Volvo AC,Vijayawada,2024-11-03,53,25,48.62,263.14,1011.68,25292.12,57.29,November,Sunday
AP0073,Rajahmundry-Hyderabad,Semi-Sleeper,Hyderabad,2024-10-11,63,59,95.02,540.59,211.06,12452.71,115.46,October,Friday
AP0074,Vijayawada-Visakhapatnam,Express,Hyderabad,2024-07-23,55,32,58.89,349.38,229.66,7349.18,72.45,July,Tuesday
AP0075,Ongole-Hyderabad,Super Luxury,Visakhapatnam,2024-01-08,45,33,73.87,584.2,581.56,19191.59,161.45,January,Monday
AP0076,Vijayawada-Visakhapatnam,Volvo AC,Hyderabad,2024-02-20,49,38,79.1,357.6,787.46,29923.64,74.78,February,Tuesday
AP0077,Hyderabad-Tirupati,Sleeper,Guntur,2024-02-03,40,22,55.48,514.15,469.55,10330.05,118.28,February,Saturday
AP0078,Hyderabad-Vijayawada,Semi-Sleeper,Vijayawada,2024-02-25,55,41,75.63,304.46,241.84,9915.61,70.12,February,Sunday
AP0079,Ongole-Hyderabad,Super Luxury,Nellore,2024-01-28,53,40,75.53,322.49,626.72,25068.77,121.31,January,Sunday
AP0080,Kurnool-Hyderabad,Semi-Sleeper,Vijayawada,2024-09-30,63,37,60.18,397.18,318.11,11770.15,79.11,September,Monday
AP0081,Kakinada-Vijayawada,Semi-Sleeper,Visakhapatnam,2024-09-29,63,34,55.47,331.31,180.3,6130.21,74.26,September,Sunday
AP0082,Kurnool-Hyderabad,Semi-Sleeper,Vijayawada,2024-03-07,55,42,78.1,518.71,125.16,5256.7,99.65,March,Thursday
AP0083,Rajahmundry-Hyderabad,Sleeper,Vijayawada,2024-08-23,40,24,62.08,558.45,713.93,17134.23,99.5,August,Friday
AP0084,Hyderabad-Tirupati,Express,Hyderabad,2024-08-16,59,41,70.66,549.72,471.15,19316.96,172.35,August,Friday
AP0085,Rajahmundry-Hyderabad,Ordinary,Guntur,2024-03-15,63,42,67.69,367.4,197.95,8313.84,70.3,March,Friday
AP0086,Vijayawada-Visakhapatnam,Semi-Sleeper,Kurnool,2024-07-21,63,31,49.35,406.63,192.08,5954.48,78.72,July,Sunday
AP0087,Nellore-Chennai,Express,Visakhapatnam,2024-08-12,59,41,69.89,273.67,356.92,14633.75,89.55,August,Monday
AP0088,Vijayawada-Visakhapatnam,Ordinary,Tirupati,2024-12-21,59,24,41.91,236.09,270.78,6498.67,50.08,December,Saturday
AP0089,Kadapa-Hyderabad,Super Luxury,Visakhapatnam,2024-01-13,49,33,68.89,549.7,577.72,19064.67,90.3,January,Saturday
AP0090,Nellore-Chennai,Express,Tirupati,2024-02-07,55,20,37.41,342.83,483.57,9671.38,93.14,February,Wednesday
AP0091,Kurnool-Hyderabad,Super Luxury,Kurnool,2024-03-16,45,43,97.58,366.97,516.04,22189.66,80.27,March,Saturday
AP0092,Hyderabad-Tirupati,Super Luxury,Hyderabad,2024-09-26,45,44,98.7,558.44,673.21,29621.09,133.9,September,Thursday
AP0093,Chittoor-Bangalore,Semi-Sleeper,Visakhapatnam,2024-03-29,63,32,51.58,424.24,281.56,9009.8,90.36,March,Friday
AP0094,Kadapa-Hyderabad,Express,Hyderabad,2024-12-18,59,59,100.0,375.02,349.92,20645.36,72.9,December,Wednesday
AP0095,Kurnool-Hyderabad,Ordinary,Hyderabad,2024-02-08,59,29,50.8,439.24,153.16,4441.64,95.98,February,Thursday
AP0096,Hyderabad-Tirupati,Semi-Sleeper,Kurnool,2024-06-05,59,36,61.79,558.46,347.18,12498.4,134.0,June,Wednesday
AP0097,Hyderabad-Vijayawada,Volvo AC,Kurnool,2024-10-15,53,41,78.72,287.42,836.37,34291.3,54.15,October,Tuesday
AP0098,Ongole-Hyderabad,Volvo AC,Kurnool,2024-06-07,53,53,100.0,453.75,789.65,41851.35,110.89,June,Friday
AP0099,Eluru-Hyderabad,Volvo AC,Guntur,2024-11-19,49,29,60.32,248.14,746.03,21634.73,36.06,November,Tuesday
AP0100,Chittoor-Bangalore,Sleeper,Vijayawada,2024-01-11,40,22,57.3,272.62,704.91,15507.97,77.8,January,Thursday
AP0101,Ongole-Hyderabad,Express,Kurnool,2024-04-20,59,31,53.22,368.05,359.31,11138.47,55.64,April,Saturday
AP0102,Nellore-Chennai,Volvo AC,Visakhapatnam,2024-04-15,49,36,74.52,371.69,821.88,29587.64,76.58,April,Monday
AP0103,Hyderabad-Vijayawada,Volvo AC,Nellore,2024-06-30,49,49,100.0,265.59,531.71,26053.84,64.72,June,Sunday
AP0104,Kurnool-Hyderabad,Ordinary,Hyderabad,2024-05-16,63,57,91.41,291.19,254.46,14504.11,66.28,May,Thursday
AP0105,Kakinada-Vijayawada,Volvo AC,Hyderabad,2024-12-12,57,11,20.0,343.45,970.45,10674.94,66.74,December,Thursday
AP0106,Hyderabad-Vijayawada,Super Luxury,Visakhapatnam,2024-12-09,45,32,72.76,234.55,431.19,13797.99,52.63,December,Monday
AP0107,Hyderabad-Vijayawada,Ordinary,Guntur,2024-03-24,59,54,91.9,259.74,397.92,21487.49,52.86,March,Sunday
AP0108,Rajahmundry-Hyderabad,Ordinary,Tirupati,2024-08-11,55,39,72.53,292.17,186.07,7256.78,77.47,August,Sunday
AP0109,Kadapa-Hyderabad,Semi-Sleeper,Nellore,2024-10-12,59,41,70.06,292.63,357.98,14677.03,72.03,October,Saturday
AP0110,Nellore-Chennai,Super Luxury,Vijayawada,2024-04-23,49,19,39.99,84.9,756.0,14363.98,15.8,April,Tuesday
AP0111,Ongole-Hyderabad,Semi-Sleeper,Visakhapatnam,2024-09-22,55,38,69.43,360.97,222.58,8458.23,82.93,September,Sunday
AP0112,Kakinada-Vijayawada,Super Luxury,Kurnool,2024-12-14,53,33,62.5,398.53,812.24,26804.07,102.66,December,Saturday
AP0113,Nellore-Chennai,Ordinary,Hyderabad,2024-09-05,63,28,45.43,607.14,193.64,5421.99,131.44,September,Thursday
AP0114,Eluru-Hyderabad,Sleeper,Visakhapatnam,2024-06-13,40,35,89.67,474.98,725.78,25402.26,98.21,June,Thursday
AP0115,Guntur-Hyderabad,Sleeper,Kurnool,2024-03-25,44,30,70.36,486.32,806.76,24202.75,95.06,March,Monday
AP0116,Hyderabad-Tirupati,Sleeper,Visakhapatnam,2024-01-11,40,40,100.0,555.68,399.44,15977.59,108.99,January,Thursday
AP0117,Kakinada-Vijayawada,Express,Visakhapatnam,2024-08-13,55,39,72.12,468.52,244.34,9529.15,118.19,August,Tuesday
AP0118,Vijayawada-Tirupati,Volvo AC,Visakhapatnam,2024-01-09,49,29,59.38,577.85,994.36,28836.57,254.25,January,Tuesday
AP0119,Nellore-Chennai,Express,Guntur,2024-08-02,59,29,50.61,221.16,264.17,7660.79,48.28,August,Friday
AP0120,Vijayawada-Tirupati,Super Luxury,Kurnool,2024-03-16,45,31,71.04,343.1,355.56,11022.39,140.76,March,Saturday
AP0121,Kurnool-Hyderabad,Sleeper,Vijayawada,2024-09-24,44,28,65.31,375.6,623.64,17461.95,71.05,September,Tuesday
AP0122,Kadapa-Hyderabad,Ordinary,Guntur,2024-11-05,59,32,55.81,164.52,102.73,3287.36,44.37,November,Tuesday
AP0123,Anantapur-Bangalore,Ordinary,Visakhapatnam,2024-06-12,55,30,55.55,197.6,261.78,7853.3,51.17,June,Wednesday
AP0124,Hyderabad-Vijayawada,Super Luxury,Nellore,2024-03-09,53,40,76.99,282.4,681.15,27246.01,60.76,March,Saturday
AP0125,Nellore-Chennai,Ordinary,Vijayawada,2024-03-13,59,36,62.44,301.99,203.95,7342.16,47.64,March,Wednesday
AP0126,Rajahmundry-Hyderabad,Ordinary,Hyderabad,2024-08-16,59,43,74.29,270.3,408.0,17544.09,60.89,August,Friday
AP0127,Chittoor-Bangalore,Volvo AC,Visakhapatnam,2024-10-31,57,16,28.6,448.57,924.36,14789.79,111.46,October,Thursday
AP0128,Kadapa-Hyderabad,Ordinary,Vijayawada,2024-07-16,59,59,100.0,478.45,267.4,15776.64,94.72,July,Tuesday
AP0129,Nellore-Chennai,Ordinary,Vijayawada,2024-10-14,59,34,58.84,364.49,127.88,4347.78,86.91,October,Monday
AP0130,Kakinada-Vijayawada,Ordinary,Nellore,2024-11-10,63,63,100.0,394.66,149.92,9444.98,91.16,November,Sunday
AP0131,Kurnool-Hyderabad,Sleeper,Vijayawada,2024-04-17,44,15,34.31,359.61,944.19,14162.91,87.07,April,Wednesday
AP0132,Chittoor-Bangalore,Sleeper,Vijayawada,2024-01-15,40,32,80.27,323.9,714.34,22858.83,70.29,January,Monday
AP0133,Nellore-Chennai,Ordinary,Tirupati,2024-04-17,59,47,80.87,85.27,197.95,9303.8,16.77,April,Wednesday
AP0134,Ongole-Hyderabad,Express,Nellore,2024-04-05,63,47,74.7,358.23,425.62,20003.96,66.93,April,Friday
AP0135,Hyderabad-Tirupati,Super Luxury,Nellore,2024-12-24,53,34,65.24,529.85,989.66,33648.29,122.1,December,Tuesday
AP0136,Vijayawada-Visakhapatnam,Sleeper,Hyderabad,2024-05-25,40,21,54.36,428.62,624.37,13111.69,103.58,May,Saturday
AP0137,Ongole-Hyderabad,Sleeper,Hyderabad,2024-12-09,44,31,71.25,156.63,782.81,24267.22,44.32,December,Monday
AP0138,Vijayawada-Visakhapatnam,Volvo AC,Visakhapatnam,2024-11-28,57,24,43.49,345.05,766.86,18404.53,68.46,November,Thursday
AP0139,Hyderabad-Visakhapatnam,Ordinary,Nellore,2024-08-28,55,45,82.39,607.44,263.32,11849.23,148.19,August,Wednesday
AP0140,Kakinada-Vijayawada,Super Luxury,Kurnool,2024-03-02,53,44,83.88,492.05,677.29,29800.8,121.69,March,Saturday
AP0141,Hyderabad-Vijayawada,Super Luxury,Visakhapatnam,2024-11-18,53,34,64.45,273.0,494.22,16803.43,50.55,November,Monday
AP0142,Anantapur-Bangalore,Volvo AC,Guntur,2024-05-03,49,32,66.69,264.94,857.17,27429.54,57.8,May,Friday
AP0143,Eluru-Hyderabad,Semi-Sleeper,Visakhapatnam,2024-11-18,59,59,100.0,440.75,247.35,14593.64,97.32,November,Monday
AP0144,Nellore-Chennai,Express,Visakhapatnam,2024-02-28,63,45,72.76,312.17,440.94,19842.36,63.23,February,Wednesday
AP0145,Anantapur-Bangalore,Ordinary,Guntur,2024-07-06,59,45,77.15,381.78,290.19,13058.7,95.53,July,Saturday
AP0146,Kurnool-Hyderabad,Sleeper,Visakhapatnam,2024-12-28,44,36,83.34,333.29,692.51,24930.29,72.18,December,Saturday
AP0147,Vijayawada-Tirupati,Semi-Sleeper,Nellore,2024-08-11,59,30,52.13,268.92,279.49,8384.82,51.82,August,Sunday
AP0148,Kadapa-Hyderabad,Semi-Sleeper,Visakhapatnam,2024-03-14,63,48,76.35,327.88,251.97,12094.63,70.48,March,Thursday
AP0149,Rajahmundry-Hyderabad,Express,Nellore,2024-08-06,55,37,69.02,305.36,281.46,10413.95,65.59,August,Tuesday
AP0150,Hyderabad-Vijayawada,Volvo AC,Kurnool,2024-11-01,53,53,100.0,267.8,753.2,39919.7,58.19,November,Friday
AP0151,Ongole-Hyderabad,Sleeper,Tirupati,2024-02-02,36,29,80.66,287.09,599.39,17382.43,65.77,February,Friday
AP0152,Guntur-Hyderabad,Super Luxury,Visakhapatnam,2024-04-08,49,49,100.0,417.83,516.72,25319.28,93.65,April,Monday
AP0153,Kadapa-Hyderabad,Ordinary,Nellore,2024-01-27,63,48,76.62,462.19,353.89,16986.85,83.3,January,Saturday
AP0154,Hyderabad-Tirupati,Ordinary,Kurnool,2024-02-27,55,31,57.8,503.83,232.21,7198.42,124.51,February,Tuesday
AP0155,Chittoor-Bangalore,Semi-Sleeper,Nellore,2024-09-27,55,40,72.8,224.85,187.58,7503.03,39.76,September,Friday
AP0156,Chittoor-Bangalore,Super Luxury,Tirupati,2024-02-19,45,24,55.4,334.13,640.45,15370.81,94.1,February,Monday
AP0157,Vijayawada-Visakhapatnam,Super Luxury,Guntur,2024-12-05,49,36,74.18,513.81,629.48,22661.21,90.13,December,Thursday
AP0158,Vijayawada-Visakhapatnam,Ordinary,Kurnool,2024-12-09,59,29,50.71,190.86,204.09,5918.58,38.54,December,Monday
AP0159,Nellore-Chennai,Super Luxury,Guntur,2024-04-04,49,17,36.44,304.77,582.15,9896.56,119.01,April,Thursday
AP0160,Guntur-Hyderabad,Super Luxury,Guntur,2024-02-15,53,43,82.04,323.67,638.7,27464.08,77.48,February,Thursday
AP0161,Eluru-Hyderabad,Semi-Sleeper,Kurnool,2024-10-15,59,34,57.8,370.84,201.24,6842.17,129.36,October,Tuesday
AP0162,Rajahmundry-Hyderabad,Sleeper,Kurnool,2024-05-22,44,31,70.78,413.21,519.71,16110.96,111.17,May,Wednesday
AP0163,Hyderabad-Visakhapatnam,Express,Nellore,2024-09-20,55,42,76.99,646.24,435.19,18277.94,135.02,September,Friday
AP0164,Nellore-Chennai,Express,Tirupati,2024-07-26,63,51,81.78,561.58,342.05,17444.74,129.52,July,Friday
AP0165,Vijayawada-Visakhapatnam,Semi-Sleeper,Vijayawada,2024-01-12,63,56,89.97,523.6,241.93,13548.31,112.4,January,Friday
AP0166,Kurnool-Hyderabad,Volvo AC,Guntur,2024-07-01,57,39,68.64,402.28,1273.71,49674.76,99.55,July,Monday
AP0167,Hyderabad-Tirupati,Volvo AC,Vijayawada,2024-02-04,57,25,45.04,521.8,901.2,22529.96,105.38,February,Sunday
AP0168,Kadapa-Hyderabad,Sleeper,Kurnool,2024-10-19,44,32,73.34,463.13,896.39,28684.43,108.2,October,Saturday
AP0169,Vijayawada-Visakhapatnam,Volvo AC,Tirupati,2024-09-06,53,48,91.6,372.45,805.72,38674.53,69.78,September,Friday
AP0170,Vijayawada-Tirupati,Express,Tirupati,2024-05-10,63,30,48.54,261.18,236.7,7101.14,76.6,May,Friday
AP0171,Kadapa-Hyderabad,Express,Guntur,2024-11-29,59,47,80.94,294.97,337.44,15859.86,74.44,November,Friday
AP0172,Hyderabad-Visakhapatnam,Sleeper,Guntur,2024-08-18,40,25,63.96,606.87,680.68,17017.03,113.43,August,Sunday
AP0173,Rajahmundry-Hyderabad,Volvo AC,Vijayawada,2024-06-12,49,31,64.3,220.53,853.64,26462.94,40.62,June,Wednesday
AP0174,Kadapa-Hyderabad,Super Luxury,Vijayawada,2024-09-20,49,38,78.81,333.65,285.73,10857.6,93.1,September,Friday
AP0175,Anantapur-Bangalore,Volvo AC,Hyderabad,2024-07-22,49,16,33.91,186.33,651.6,10425.54,34.1,July,Monday
AP0176,Vijayawada-Tirupati,Ordinary,Hyderabad,2024-11-29,63,60,95.82,319.67,212.58,12754.98,66.55,November,Friday
AP0177,Hyderabad-Visakhapatnam,Ordinary,Nellore,2024-06-27,55,46,84.44,606.2,151.01,6946.58,124.77,June,Thursday
AP0178,Ongole-Hyderabad,Volvo AC,Vijayawada,2024-08-10,57,21,38.17,441.63,703.81,14780.03,92.45,August,Saturday
AP0179,Nellore-Chennai,Super Luxury,Vijayawada,2024-01-08,53,10,20.0,256.15,664.18,6641.81,51.07,January,Monday
AP0180,Hyderabad-Visakhapatnam,Sleeper,Hyderabad,2024-10-16,40,32,82.26,606.19,570.26,18248.25,129.69,October,Wednesday
AP0181,Hyderabad-Vijayawada,Express,Visakhapatnam,2024-03-16,55,55,100.0,277.76,396.91,21830.12,59.95,March,Saturday
AP0182,Anantapur-Bangalore,Ordinary,Kurnool,2024-03-09,63,47,75.03,241.04,264.45,12429.23,41.52,March,Saturday
AP0183,Rajahmundry-Hyderabad,Express,Kurnool,2024-11-19,55,39,71.21,323.8,500.51,19520.06,79.09,November,Tuesday
AP0184,Hyderabad-Visakhapatnam,Sleeper,Kurnool,2024-05-08,40,22,56.59,625.8,914.1,20110.3,149.47,May,Wednesday
AP0185,Nellore-Chennai,Semi-Sleeper,Kurnool,2024-11-11,55,45,83.29,222.2,142.76,6424.1,69.76,November,Monday
AP0186,Kadapa-Hyderabad,Ordinary,Hyderabad,2024-04-19,59,32,55.15,366.97,198.88,6364.26,93.14,April,Friday
AP0187,Ongole-Hyderabad,Express,Vijayawada,2024-08-15,59,38,64.76,186.93,175.09,6653.44,40.32,August,Thursday
AP0188,Eluru-Hyderabad,Super Luxury,Nellore,2024-04-16,53,46,87.8,481.88,689.21,31703.8,105.46,April,Tuesday
AP0189,Kurnool-Hyderabad,Sleeper,Tirupati,2024-02-21,44,35,80.7,274.6,723.28,25314.63,64.23,February,Wednesday
AP0190,Ongole-Hyderabad,Super Luxury,Guntur,2024-03-17,49,46,95.88,501.45,626.98,28841.27,97.97,March,Sunday
AP0191,Vijayawada-Visakhapatnam,Express,Hyderabad,2024-11-07,59,36,61.26,295.97,294.14,10588.9,60.27,November,Thursday
AP0192,Hyderabad-Vijayawada,Express,Guntur,2024-02-16,55,40,73.87,282.16,539.74,21589.66,105.34,February,Friday
AP0193,Anantapur-Bangalore,Sleeper,Nellore,2024-04-30,36,36,100.0,407.93,744.55,26803.79,75.15,April,Tuesday
AP0194,Kadapa-Hyderabad,Express,Hyderabad,2024-06-15,59,38,64.49,419.27,474.72,18039.23,86.16,June,Saturday
AP0195,Kakinada-Vijayawada,Ordinary,Vijayawada,2024-04-17,63,43,68.64,231.24,204.58,8796.92,48.7,April,Wednesday
AP0196,Hyderabad-Visakhapatnam,Ordinary,Nellore,2024-06-08,55,42,77.16,634.49,145.05,6092.22,109.42,June,Saturday
AP0197,Anantapur-Bangalore,Express,Hyderabad,2024-09-19,59,15,26.29,306.52,545.95,8189.24,77.65,September,Thursday
AP0198,Vijayawada-Tirupati,Express,Visakhapatnam,2024-06-15,55,11,20.52,406.9,213.18,2344.98,70.12,June,Saturday
